Original modifier name (1.0),New modifier name (1.1),Invert
macrodetails/Gender,macrodetails/Gender,
macrodetails/Age,macrodetails/Age,
macrodetails/African,macrodetails/African,
macrodetails/Asian,macrodetails/Asian,
macrodetails/Caucasian,macrodetails/Caucasian,
,,
macrodetails-universal/Muscle,macrodetails-universal/Muscle,
macrodetails-universal/Weight,macrodetails-universal/Weight,
,,
macrodetails-height/Height,macrodetails-height/Height,
,,
macrodetails-proportions/BodyProportions,macrodetails-proportions/BodyProportions,
,,
armslegs/l-foot-scale-decr|incr,armslegs/l-foot-scale-decr|incr,
armslegs/l-foot-trans-forward|backward,armslegs/l-foot-trans-backward|forward,TRUE
armslegs/l-foot-trans-in|out,armslegs/l-foot-trans-in|out,
armslegs/r-foot-scale-decr|incr,armslegs/r-foot-scale-decr|incr,
armslegs/r-foot-trans-forward|backward,armslegs/r-foot-trans-backward|forward,TRUE
armslegs/r-foot-trans-in|out,armslegs/r-foot-trans-in|out,
,,
armslegs/l-hand-fingers-diameter-decr|incr,armslegs/l-hand-fingers-diameter-decr|incr,
armslegs/l-hand-fingers-length-decr|incr,armslegs/l-hand-fingers-length-decr|incr,
armslegs/l-hand-scale-decr|incr,armslegs/l-hand-scale-decr|incr,
armslegs/l-hand-trans-in|out,armslegs/l-hand-trans-in|out,
armslegs/r-hand-fingers-diameter-decr|incr,armslegs/r-hand-fingers-diameter-decr|incr,
armslegs/r-hand-fingers-length-decr|incr,armslegs/r-hand-fingers-length-decr|incr,
armslegs/r-hand-scale-decr|incr,armslegs/r-hand-scale-decr|incr,
armslegs/r-hand-trans-in|out,armslegs/r-hand-trans-in|out,
,armslegs/r-hand-fingers-distance-decr|incr,
,armslegs/l-hand-fingers-distance-decr|incr,
,,
armslegs/l-lowerarm-scale-depth-decr|incr,armslegs/l-lowerarm-scale-depth-decr|incr,
armslegs/l-lowerarm-scale-horiz-decr|incr,armslegs/l-lowerarm-scale-horiz-decr|incr,
armslegs/l-lowerarm-scale-vert-decr|incr,armslegs/l-lowerarm-scale-vert-decr|incr,
armslegs/r-lowerarm-scale-depth-decr|incr,armslegs/r-lowerarm-scale-depth-decr|incr,
armslegs/r-lowerarm-scale-horiz-decr|incr,armslegs/r-lowerarm-scale-horiz-decr|incr,
armslegs/r-lowerarm-scale-vert-decr|incr,armslegs/r-lowerarm-scale-vert-decr|incr,
,,
,armslegs/l-lowerarm-fat-decr|incr,
,armslegs/l-lowerarm-muscle-decr|incr,
,armslegs/r-lowerarm-fat-decr|incr,
,armslegs/r-lowerarm-muscle-decr|incr,
,,
armslegs/l-upperarm-scale-depth-decr|incr,armslegs/l-upperarm-scale-depth-decr|incr,
armslegs/l-upperarm-scale-horiz-decr|incr,armslegs/l-upperarm-scale-horiz-decr|incr,
armslegs/l-upperarm-scale-vert-decr|incr,armslegs/l-upperarm-scale-vert-decr|incr,
armslegs/r-upperarm-scale-depth-decr|incr,armslegs/r-upperarm-scale-depth-decr|incr,
armslegs/r-upperarm-scale-horiz-decr|incr,armslegs/r-upperarm-scale-horiz-decr|incr,
armslegs/r-upperarm-scale-vert-decr|incr,armslegs/r-upperarm-scale-vert-decr|incr,
,,
,armslegs/l-upperarm-fat-decr|incr,
,armslegs/l-upperarm-shoulder-muscle-decr|incr,
,armslegs/l-upperarm-muscle-decr|incr,
,armslegs/r-upperarm-fat-decr|incr,
,armslegs/r-upperarm-shoulder-muscle-decr|incr,
,armslegs/r-upperarm-muscle-decr|incr,
,,
armslegs/l-leg-genu-varun|valgus,armslegs/l-leg-valgus-decr|incr,
armslegs/r-leg-genu-varun|valgus,armslegs/r-leg-valgus-decr|incr,
,,
armslegs/l-lowerleg-scale-depth-decr|incr,armslegs/l-lowerleg-scale-depth-decr|incr,
armslegs/l-lowerleg-scale-horiz-decr|incr,armslegs/l-lowerleg-scale-horiz-decr|incr,
armslegs/r-lowerleg-scale-depth-decr|incr,armslegs/r-lowerleg-scale-depth-decr|incr,
armslegs/r-lowerleg-scale-horiz-decr|incr,armslegs/r-lowerleg-scale-horiz-decr|incr,
,,
,armslegs/l-lowerleg-fat-decr|incr,
,armslegs/l-lowerleg-muscle-decr|incr,
,armslegs/r-lowerleg-fat-decr|incr,
,armslegs/r-lowerleg-muscle-decr|incr,
,,
armslegs/l-upperleg-scale-depth-decr|incr,armslegs/l-upperleg-scale-depth-decr|incr,
armslegs/l-upperleg-scale-horiz-decr|incr,armslegs/l-upperleg-scale-horiz-decr|incr,
armslegs/l-upperleg-scale-vert-decr|incr,armslegs/l-upperleg-scale-vert-decr|incr,
armslegs/r-upperleg-scale-depth-decr|incr,armslegs/r-upperleg-scale-depth-decr|incr,
armslegs/r-upperleg-scale-horiz-decr|incr,armslegs/r-upperleg-scale-horiz-decr|incr,
armslegs/r-upperleg-scale-vert-decr|incr,armslegs/r-upperleg-scale-vert-decr|incr,
,,
,armslegs/l-upperleg-fat-decr|incr,
,armslegs/l-upperleg-muscle-decr|incr,
,armslegs/r-upperleg-fat-decr|incr,
,armslegs/r-upperleg-muscle-decr|incr,
,,
,armslegs/upperlegs-height-decr|incr,
,armslegs/lowerlegs-height-decr|incr,
,,
breast/BreastFirmness,breast/BreastFirmness,
breast/BreastSize,breast/BreastSize,
breast/breast-dist-min|max,breast/breast-dist-decr|incr,
breast/breast-point-min|max,breast/breast-point-decr|incr,
breast/breast-trans-vert-down|up,breast/breast-trans-down|up,
breast/breast-volume-vert-up|down,breast/breast-volume-vert-down|up,TRUE
,,
,breast/nipple-size-decr|incr,
,breast/nipple-point-decr|incr,
,,
genitals/penis-circ-min|max,genitals/penis-circ-decr|incr,
genitals/penis-length-min|max,genitals/penis-length-decr|incr,
genitals/penis-testicles-min|max,genitals/penis-testicles-decr|incr,
,,
head/head-age-less|more,head/head-age-decr|incr,
,head/head-back-scale-depth-decr|incr,
head/head-angle-in|out,head/head-angle-in|out,
head/head-diamond,head/head-diamond,
head/head-invertedtriangular,head/head-invertedtriangular,
head/head-oval,head/head-oval,
head/head-rectangular,head/head-rectangular,
head/head-round,head/head-round,
head/head-scale-depth-less|more,head/head-scale-depth-decr|incr,
head/head-scale-horiz-less|more,head/head-scale-horiz-decr|incr,
head/head-scale-vert-more|less,head/head-scale-vert-decr|incr,TRUE
head/head-square,head/head-square,
head/head-trans-down|up,head/head-trans-down|up,
head/head-trans-forward|backward,head/head-trans-backward|forward,TRUE
head/head-trans-in|out,head/head-trans-in|out,
head/head-triangular,head/head-triangular,
,head/head-fat-decr|incr,
,,
forehead/forehead-nubian-less|more,forehead/forehead-nubian-decr|incr,
forehead/forehead-scale-vert-less|more,forehead/forehead-scale-vert-decr|incr,
forehead/forehead-temple-in|out,forehead/forehead-temple-decr|incr,
forehead/forehead-trans-depth-forward|backward,forehead/forehead-trans-backward|forward,
,,
cheek/l-cheek-bones-in|out,cheek/l-cheek-bones-decr|incr,
cheek/l-cheek-inner-deflate|inflate,cheek/l-cheek-inner-decr|incr,
cheek/l-cheek-trans-vert-down|up,cheek/l-cheek-trans-down|up,
cheek/l-cheek-volume-deflate|inflate,cheek/l-cheek-volume-decr|incr,
cheek/r-cheek-bones-in|out,cheek/r-cheek-bones-decr|incr,
cheek/r-cheek-inner-deflate|inflate,cheek/r-cheek-inner-decr|incr,
cheek/r-cheek-trans-vert-down|up,cheek/r-cheek-trans-down|up,
cheek/r-cheek-volume-deflate|inflate,cheek/r-cheek-volume-decr|incr,
,,
chin/chin-bones-in|out,chin/chin-bones-decr|incr,
chin/chin-height-min|max,chin/chin-height-decr|incr,
chin/chin-prognathism-less|more,chin/chin-prognathism-decr|incr,
chin/chin-prominent-less|more,chin/chin-prominent-decr|incr,
chin/chin-width-min|max,chin/chin-width-decr|incr,
,chin/chin-jaw-drop-decr|incr,
,chin/chin-cleft-decr|incr,
,,
eyebrows/eyebrows-angle-up|down,eyebrows/eyebrows-angle-down|up,TRUE
eyebrows/eyebrows-trans-depth-less|more,eyebrows/eyebrows-trans-backward|forward,
eyebrows/eyebrows-trans-vert-less|more,eyebrows/eyebrows-trans-down|up,TRUE
,,
eyes/l-eye-corner1-up|down,eyes/l-eye-corner1-down|up,TRUE
eyes/l-eye-corner2-up|down,eyes/l-eye-corner2-down|up,TRUE
eyes/r-eye-corner1-up|down,eyes/r-eye-corner1-down|up,TRUE
eyes/r-eye-corner2-up|down,eyes/r-eye-corner2-down|up,TRUE
eyes/l-eye-height1-min|max,eyes/l-eye-height1-decr|incr,
eyes/l-eye-height2-min|max,eyes/l-eye-height2-decr|incr,
eyes/l-eye-height3-min|max,eyes/l-eye-height3-decr|incr,
eyes/r-eye-height1-min|max,eyes/r-eye-height1-decr|incr,
eyes/r-eye-height2-min|max,eyes/r-eye-height2-decr|incr,
eyes/r-eye-height3-min|max,eyes/r-eye-height3-decr|incr,
eyes/l-eye-move-in|out,eyes/l-eye-trans-in|out,
eyes/l-eye-move-up|down,eyes/l-eye-trans-down|up,TRUE
eyes/r-eye-move-in|out,eyes/r-eye-trans-in|out,
eyes/r-eye-move-up|down,eyes/r-eye-trans-down|up,TRUE
eyes/l-eye-push1-in|out,eyes/l-eye-push1-in|out,
eyes/l-eye-push2-in|out,eyes/l-eye-push2-in|out,TRUE
eyes/r-eye-push1-in|out,eyes/r-eye-push1-in|out,
eyes/r-eye-push2-in|out,eyes/r-eye-push2-in|out,TRUE
eyes/l-eye-size-small|big,eyes/l-eye-scale-decr|incr,
eyes/r-eye-size-small|big,eyes/r-eye-scale-decr|incr,
,,
,eyes/r-eye-bag-decr|incr,
,eyes/r-eye-bag-in|out,
,eyes/r-eye-bag-height-decr|incr,
,eyes/r-eye-eyefold-angle-down|up,
,eyes/r-eye-epicanthus-in|out,
,eyes/r-eye-eyefold-concave|convex,
,eyes/r-eye-eyefold-down|up,
,eyes/l-eye-bag-decr|incr,
,eyes/l-eye-bag-in|out,
,eyes/l-eye-bag-height-decr|incr,
,eyes/l-eye-eyefold-angle-down|up,
,eyes/l-eye-epicanthus-in|out,
,eyes/l-eye-eyefold-concave|convex,
,eyes/l-eye-eyefold-down|up,
,,
ears/l-ear-flap-out|in,ears/l-ear-flap-decr|incr,TRUE
ears/r-ear-flap-out|in,ears/r-ear-flap-decr|incr,TRUE
ears/l-ear-height-min|max,ears/l-ear-scale-vert-decr|incr,
ears/r-ear-height-min|max,ears/r-ear-scale-vert-decr|incr,
ears/l-ear-lobe-min|max,ears/l-ear-lobe-decr|incr,
ears/r-ear-lobe-min|max,ears/r-ear-lobe-decr|incr,
ears/l-ear-rot-backward|forward,ears/l-ear-rot-backward|forward,
ears/r-ear-rot-backward|forward,ears/r-ear-rot-backward|forward,
ears/l-ear-shape1-pointed|triangle,ears/l-ear-shape-pointed|triangle,
ears/r-ear-shape1-pointed|triangle,ears/r-ear-shape-pointed|triangle,
ears/l-ear-shape2-square|round,ears/l-ear-shape-square|round,
ears/r-ear-shape2-square|round,ears/r-ear-shape-square|round,
ears/l-ear-size-big|small,ears/l-ear-scale-decr|incr,TRUE
ears/r-ear-size-big|small,ears/r-ear-scale-decr|incr,TRUE
ears/l-ear-trans-depth-backward|forward,ears/l-ear-trans-backward|forward,
ears/r-ear-trans-depth-backward|forward,ears/r-ear-trans-backward|forward,
ears/l-ear-trans-vert-down|up,ears/l-ear-trans-down|up,
ears/r-ear-trans-vert-down|up,ears/r-ear-trans-down|up,
ears/l-ear-width-max|min,ears/l-ear-scale-depth-decr|incr,TRUE
ears/r-ear-width-max|min,ears/r-ear-scale-depth-decr|incr,TRUE
ears/l-ear-wing-out|in,ears/l-ear-wing-decr|incr,TRUE
ears/r-ear-wing-out|in,ears/r-ear-wing-decr|incr,TRUE
,,
mouth/mouth-angles-up|down,mouth/mouth-angles-down|up,TRUE
mouth/mouth-cupidsbow-decr|incr,mouth/mouth-cupidsbow-decr|incr,
mouth/mouth-cupidsbow-width-min|max,mouth/mouth-cupidsbow-width-decr|incr,
mouth/mouth-lowerlip-ext-up|down,mouth/mouth-lowerlip-ext-down|up,
mouth/mouth-lowerlip-height-min|max,mouth/mouth-lowerlip-height-decr|incr,
mouth/mouth-lowerlip-middle-up|down,mouth/mouth-lowerlip-middle-down|up,
mouth/mouth-lowerlip-volume-deflate|inflate,mouth/mouth-lowerlip-volume-decr|incr,
mouth/mouth-lowerlip-width-min|max,mouth/mouth-lowerlip-width-decr|incr,
mouth/mouth-philtrum-volume-increase|decrease,mouth/mouth-philtrum-volume-decr|incr,TRUE
mouth/mouth-scale-depth-incr|decr,mouth/mouth-scale-depth-decr|incr,TRUE
mouth/mouth-scale-horiz-incr|decr,mouth/mouth-scale-horiz-decr|incr,TRUE
mouth/mouth-scale-vert-incr|decr,mouth/mouth-scale-vert-decr|incr,TRUE
mouth/mouth-trans-forward|backward,mouth/mouth-trans-backward|forward,TRUE
mouth/mouth-trans-in|out,mouth/mouth-trans-in|out,
mouth/mouth-trans-up|down,mouth/mouth-trans-down|up,TRUE
mouth/mouth-upperlip-ext-up|down,mouth/mouth-upperlip-ext-down|up,TRUE
mouth/mouth-upperlip-height-min|max,mouth/mouth-upperlip-height-decr|incr,
mouth/mouth-upperlip-middle-up|down,mouth/mouth-upperlip-middle-down|up,TRUE
mouth/mouth-upperlip-volume-deflate|inflate,mouth/mouth-upperlip-volume-decr|incr,
mouth/mouth-upperlip-width-min|max,mouth/mouth-upperlip-width-decr|incr,
,mouth/mouth-dimples-in|out,
,mouth/mouth-laugh-lines-in|out,
,,
neck/neck-scale-depth-less|more,neck/neck-scale-depth-decr|incr,
neck/neck-scale-horiz-less|more,neck/neck-scale-horiz-decr|incr,
neck/neck-scale-vert-more|less,neck/neck-scale-vert-decr|incr,TRUE
neck/neck-trans-depth-forward|backward,neck/neck-trans-backward|forward,TRUE
neck/neck-trans-horiz-in|out,neck/neck-trans-in|out,
neck/neck-trans-vert-down|up,neck/neck-trans-down|up,
,neck/neck-double-decr|incr,
,neck/neck-back-scale-depth-decr|incr,
,,
nose/nose-compression-compress|uncompress,nose/nose-compression-compress|uncompress,
nose/nose-curve-convex|concave,nose/nose-curve-concave|convex,TRUE
nose/nose-flaring-decr|incr,nose/nose-flaring-decr|incr,
nose/nose-greek-moregreek|lessgreek,nose/nose-greek-decr|incr,TRUE
nose/nose-height-min|max,nose/nose-base-down|up,TRUE
nose/nose-hump-morehump|lesshump,nose/nose-hump-decr|incr,TRUE
nose/nose-nostril-width-min|max,nose/nose-nostrils-width-decr|incr,
nose/nose-nostrils-angle-up|down,nose/nose-nostrils-angle-down|up,TRUE
nose/nose-point-up|down,nose/nose-point-down|up,TRUE
nose/nose-point-width-less|more,nose/nose-point-width-decr|incr,
nose/nose-scale-depth-incr|decr,nose/nose-scale-depth-decr|incr,TRUE
nose/nose-scale-horiz-incr|decr,nose/nose-scale-horiz-decr|incr,TRUE
nose/nose-scale-vert-incr|decr,nose/nose-scale-vert-decr|incr,TRUE
nose/nose-septumangle-decr|incr,nose/nose-septumangle-decr|incr,
nose/nose-trans-vert-up|down,nose/nose-trans-down|up,TRUE
nose/nose-trans-horiz-in|out,nose/nose-trans-in|out,
nose/nose-trans-depth-forward|backward,nose/nose-trans-backward|forward,TRUE
nose/nose-volume-potato|point,nose/nose-volume-decr|incr,TRUE
nose/nose-width1-min|max,nose/nose-width1-decr|incr,
nose/nose-width2-min|max,nose/nose-width2-decr|incr,
nose/nose-width3-min|max,nose/nose-width3-decr|incr,
,,
hip/hip-scale-depth-decr|incr,hip/hip-scale-depth-decr|incr,
hip/hip-scale-horiz-decr|incr,hip/hip-scale-horiz-decr|incr,
hip/hip-scale-vert-decr|incr,hip/hip-scale-vert-decr|incr,
hip/hip-trans-down|up,hip/hip-trans-down|up,
hip/hip-trans-forward|backward,hip/hip-trans-backward|forward,TRUE
hip/hip-trans-in|out,hip/hip-trans-in|out,
,hip/hip-waist-down|up,
,,
pelvis/bulge-decr|incr,pelvis/bulge-decr|incr,
pelvis/pelvis-tone-decr|incr,pelvis/pelvis-tone-decr|incr,
,,
buttocks/buttocks-volume-decr|incr,buttocks/buttocks-volume-decr|incr,
,,
stomach/stomach-pregnant-decr|incr,stomach/stomach-pregnant-decr|incr,
stomach/stomach-tone-decr|incr,stomach/stomach-tone-decr|incr,
,stomach/stomach-navel-in|out,
,stomach/stomach-navel-down|up,
,,
torso/torso-scale-depth-decr|incr,torso/torso-scale-depth-decr|incr,
torso/torso-scale-horiz-decr|incr,torso/torso-scale-horiz-decr|incr,
torso/torso-scale-vert-decr|incr,torso/torso-scale-vert-decr|incr,
torso/torso-trans-depth-forward|backward,torso/torso-trans-backward|forward,TRUE
torso/torso-trans-horiz-in|out,torso/torso-trans-in|out,
torso/torso-trans-vert-down|up,torso/torso-trans-down|up,
torso/torso-vshape-less|more,torso/torso-vshape-decr|incr,
,torso/torso-muscle-dorsi-decr|incr,
,torso/torso-muscle-pectoral-decr|incr,
,,
measure/measure-neckcirc-decrease|increase,measure/measure-neck-circ-decr|incr,
measure/measure-neckheight-decrease|increase,measure/measure-neck-height-decr|incr,
measure/measure-upperarm-decrease|increase,measure/measure-upperarm-circ-decr|incr,
measure/measure-upperarmlenght-decrease|increase,measure/measure-upperarm-length-decr|incr,
measure/measure-lowerarmlenght-decrease|increase,measure/measure-lowerarm-length-decr|incr,
measure/measure-wrist-decrease|increase,measure/measure-wrist-circ-decr|incr,
measure/measure-frontchest-decrease|increase,measure/measure-frontchest-dist-decr|incr,
measure/measure-bust-decrease|increase,measure/measure-bust-circ-decr|incr,
measure/measure-underbust-decrease|increase,measure/measure-underbust-circ-decr|incr,
measure/measure-waist-decrease|increase,measure/measure-waist-circ-decr|incr,
measure/measure-napetowaist-decrease|increase,measure/measure-napetowaist-dist-decr|incr,
measure/measure-waisttohip-decrease|increase,measure/measure-waisttohip-dist-decr|incr,
measure/measure-shoulder-decrease|increase,measure/measure-shoulder-dist-decr|incr,
measure/measure-hips-decrease|increase,measure/measure-hips-circ-decr|incr,
measure/measure-upperlegheight-decrease|increase,measure/measure-upperleg-height-decr|incr,
measure/measure-thighcirc-decrease|increase,measure/measure-thigh-circ-decr|incr,
measure/measure-kneecirc-decrease|increase,measure/measure-knee-circ-decr|incr,
measure/measure-lowerlegheight-decrease|increase,measure/measure-lowerleg-height-decr|incr,
measure/measure-calf-decrease|increase,measure/measure-calf-circ-decr|incr,
measure/measure-ankle-decrease|increase,measure/measure-ankle-circ-decr|incr,
